Поток	Время
1	78316544
2	36206446
3	26101057
4	21239011
5	17643726
6	16425442
7	15687379
8	15599762
9	18380588
10	17489183
11	16203035
12	15675207
13	15287146
14	14704745
15	14495218
16	14004224
17	24722957
18	26574484
19	27491033
20	27278631
21	26029473
22	26345114
23	26774154
24	27688647
25	28350586
26	26004160
27	26984392
28	30089581
