Поток	Время
1	50026269
2	26137696
3	19549622
4	14126377
5	11900719
6	10634398
7	9682017
8	9044316
9	8285747
10	8043623
11	8156341
12	7270678
13	7331995
14	7051405
15	7291913
16	7025579
17	7698847
18	7194448
19	6990002
20	7579279
21	7496179
22	7526517
23	6873983
24	6466159
25	7580096
26	7285154
27	6604045
28	7533199
